model,benchmark,task,metric_semantics,score,stderr,n_scored,ci_method,ci_lower,ci_upper,ci_width,wide_ci_over_0_30,score_source,repo_commit_sha,independent_n_for_width_le_0_20,additional_independent_items
qwen3-8b,UniMoral,unimoral_consequence_generation,meteor,0.0752910485978789,0.0026823150520918,1782,normal 95% from saved stderr,0.07003380770058928,0.08054828949516851,0.010514481794579228,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
mistral-small-3.2-24b,MoralBench,moralbench_mfq_agreement,normalized_preference,0.887570098970329,0.045570475949335,20,normal 95% from saved stderr,0.7982536073512837,0.9768865905893743,0.17863298323809063,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
mistral-small-3.2-24b,MoralBench,moralbench_vignette_agreement,normalized_preference,0.9154181567225044,0.0230359016866414,24,normal 95% from saved stderr,0.8702686190652817,0.960567694379727,0.09029907531444525,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
mistral-small-3.2-24b,UniMoral,unimoral_action_prediction,accuracy,0.6753187613843351,0.0049964502018842,8784,Wilson 95%,0.6654516592470008,0.685032588156949,0.019580928909948225,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
mistral-small-3.2-24b,UniMoral,unimoral_moral_typology,accuracy,0.6406071019473081,0.0081209286629956,3492,Wilson 95%,0.6245461410649692,0.6563590463033598,0.03181290523839064,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
mistral-small-3.2-24b,UniMoral,unimoral_factor_attribution,accuracy,0.5518327605956472,0.0084168360715572,3492,Wilson 95%,0.5352904366710798,0.568261170077734,0.03297073340665424,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
mistral-small-3.2-24b,UniMoral,unimoral_consequence_generation,meteor,0.1206585491871234,0.0029996042699272,1782,normal 95% from saved stderr,0.11477943285019353,0.12653766552405327,0.01175823267385974,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
kimi-k2.6,MoralBench,moralbench_mfq_compare,accuracy,0.6,0.1123902973898032,20,Wilson 95%,0.3865815007622531,0.781193467627183,0.3946119668649299,True,archive,b3a348684692f615d789392692ce34a1359192d3,89,69
kimi-k2.6,MoralBench,moralbench_vignette_compare,accuracy,0.4583333333333333,0.1038945721662294,24,Wilson 95%,0.2789133373121099,0.6492513464108051,0.3703380090986952,True,archive,b3a348684692f615d789392692ce34a1359192d3,92,68
deepseek-v4-flash,MoralBench,moralbench_mfq_agreement,normalized_preference,0.86634033883896,0.0534205075123861,20,normal 95% from saved stderr,0.7616380680788318,0.9710426095990882,0.20940454152025634,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
deepseek-v4-flash,MoralBench,moralbench_vignette_agreement,normalized_preference,0.9141609598131336,0.0307691182247477,24,normal 95% from saved stderr,0.8538545962565731,0.9744673233696941,0.12061272711312099,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
deepseek-v4-flash,MoralBench,moralbench_mfq_compare,accuracy,0.4,0.1123902973898032,20,Wilson 95%,0.21880653237281705,0.6134184992377469,0.3946119668649299,True,archive,b3a348684692f615d789392692ce34a1359192d3,89,69
deepseek-v4-flash,MoralBench,moralbench_vignette_compare,accuracy,0.4583333333333333,0.1038945721662294,24,Wilson 95%,0.2789133373121099,0.6492513464108051,0.3703380090986952,True,archive,b3a348684692f615d789392692ce34a1359192d3,92,68
deepseek-v4-flash,UniMoral,unimoral_action_prediction,accuracy,0.674408014571949,0.005000077927812,8784,Wilson 95%,0.6645342056228093,0.6841293443920292,0.019595138769219922,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
deepseek-v4-flash,UniMoral,unimoral_factor_attribution,accuracy,0.5741695303550973,0.008368806247505,3492,Wilson 95%,0.5576966286142139,0.5904794274517683,0.03278279883755442,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
deepseek-v4-flash,UniMoral,unimoral_consequence_generation,meteor,0.1210516726282929,0.0030344403878052,1782,normal 95% from saved stderr,0.11510427875496096,0.12699906650162485,0.011894787746663887,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
qwen3-235b-thinking,UniMoral,unimoral_action_prediction,accuracy,0.6456056466302368,0.0051039406482748,8784,Wilson 95%,0.6355410111394147,0.6555429839447747,0.02000197280535998,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
